Time,open,high,low,close
2025-04-10 21:00:00,16.915,16.925,16.275,16.765
2025-04-10 21:30:00,16.555,17.515,16.405,16.575
2025-04-10 22:00:00,16.475,17.545,16.315,17.435
2025-04-10 22:30:00,17.425,18.285,17.155,17.155
2025-04-10 23:00:00,17.335,17.455,16.515,16.845
2025-04-10 23:30:00,16.625,17.655,16.055,17.625
2025-04-11 00:00:00,17.595,18.015,17.195,17.905
2025-04-11 00:30:00,17.885,18.765,17.725,18.395
2025-04-11 01:00:00,18.375,18.375,18.375,18.375
2025-04-11 01:30:00,18.375,18.375,18.375,18.375
2025-04-11 03:00:00,19.165,20.055,18.435,20.055
2025-04-11 03:30:00,20.135,20.195,19.285,19.675
2025-04-11 04:00:00,20.045,20.685,19.345,20.025
2025-04-11 04:30:00,20.135,21.065,18.565,19.785
2025-04-11 05:00:00,20.555,20.885,18.565,19.525
2025-04-11 05:30:00,19.065,19.635,18.515,18.665
2025-04-11 06:00:00,18.665,20.535,18.085,19.155
2025-04-11 06:30:00,19.015,19.895,18.385,18.395
2025-04-11 07:00:00,18.105,19.835,17.855,19.515
2025-04-11 07:30:00,19.125,19.905,19.035,19.135
2025-04-11 08:00:00,18.995,19.205,17.835,18.095
2025-04-11 08:30:00,18.075,18.605,17.735,17.815
2025-04-11 09:00:00,17.875,19.075,17.295,18.405
2025-04-11 09:30:00,18.115,19.295,17.285,19.125
2025-04-11 10:00:00,18.985,19.865,18.465,18.665
2025-04-11 10:30:00,18.365,18.715,17.685,17.815
2025-04-11 11:00:00,17.805,18.055,17.255,17.835
2025-04-11 11:30:00,17.815,18.665,17.705,18.665
2025-04-11 12:00:00,18.695,19.635,17.525,18.855
2025-04-11 12:30:00,19.215,19.215,17.555,17.555
2025-04-11 13:00:00,17.415,18.455,17.145,17.615
2025-04-11 13:30:00,17.905,18.895,17.235,18.595
2025-04-11 14:00:00,17.735,19.045,16.685,18.835
2025-04-11 14:30:00,18.715,18.715,16.055,16.465
2025-04-11 15:00:00,16.475,18.025,16.165,16.415
2025-04-11 15:30:00,16.465,17.365,16.205,16.955
2025-04-11 16:00:00,17.085,18.045,16.525,17.255
2025-04-11 16:30:00,17.705,18.535,17.065,17.195
2025-04-11 17:00:00,16.645,18.115,16.565,17.615
2025-04-11 17:30:00,16.875,18.145,16.225,16.225
2025-04-11 18:00:00,16.315,17.865,16.225,17.365
2025-04-11 18:30:00,17.485,17.575,16.015,16.655
2025-04-11 19:00:00,16.675,17.395,16.005,16.005
2025-04-11 19:30:00,15.575,17.255,15.575,17.255
2025-04-11 20:00:00,17.455,17.495,16.375,16.895
2025-04-11 20:30:00,16.995,18.085,16.275,17.225
2025-04-11 21:00:00,17.195,17.975,16.885,17.135
2025-04-11 21:30:00,17.145,17.795,17.065,17.575
2025-04-11 22:00:00,17.635,17.725,17.045,17.725
2025-04-11 22:30:00,17.725,17.805,16.825,16.825
2025-04-11 23:00:00,16.715,17.825,16.635,17.585
2025-04-11 23:30:00,17.685,17.775,16.795,17.205
2025-04-12 00:00:00,17.095,17.795,17.075,17.725
2025-04-12 00:30:00,17.475,18.515,17.075,17.295
2025-04-12 01:00:00,17.235,17.235,17.235,17.235
2025-04-12 01:30:00,17.235,17.235,17.235,17.235
2025-04-13 03:00:00,17.235,17.235,17.235,17.235
2025-04-13 03:30:00,17.235,17.235,17.235,17.235
2025-04-13 04:00:00,17.235,17.235,17.235,17.235
2025-04-13 04:30:00,17.235,17.235,17.235,17.235
2025-04-13 05:00:00,17.235,17.235,17.235,17.235
2025-04-13 05:30:00,17.235,17.235,17.235,17.235
2025-04-13 06:00:00,17.235,17.235,17.235,17.235
2025-04-13 06:30:00,17.235,17.235,17.235,17.235
2025-04-13 07:00:00,17.235,17.235,17.235,17.235
2025-04-13 07:30:00,17.235,17.235,17.235,17.235
2025-04-13 08:00:00,17.235,17.235,17.235,17.235
2025-04-13 08:30:00,17.235,17.235,17.235,17.235
2025-04-13 09:00:00,17.235,17.235,17.235,17.235
2025-04-13 09:30:00,17.235,17.235,17.235,17.235
2025-04-13 10:00:00,17.235,17.235,17.235,17.235
2025-04-13 10:30:00,17.235,17.235,17.235,17.235
2025-04-13 11:00:00,17.235,17.235,17.235,17.235
2025-04-13 11:30:00,17.235,17.235,17.235,17.235
2025-04-13 12:00:00,17.235,17.235,17.235,17.235
2025-04-13 12:30:00,17.235,17.235,17.235,17.235
